pid,id no,,es_print_ no,print,state_no,state,palette_no,palette,impression no,dimensions(wxh),watermark,impression notes,original site of installation,current location (if different),contact,contact_details,inventory_no,website_for_institutional_record,label,status,,Status,,Credit_line ,Status,,Terms_and_conditions,,Status,Request details,Status,Request details,Credit line ,Status,Request details,Terms and conditions,
objID93,flader93,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,4,,,, ,DE-Bamberg-Staatsbibliothek Bamberg,DE-Bamberg-Staatsbibliothek Bamberg,,JH.Ma.f.15#1,https://nbn-resolving.org/urn:nbn:de:bvb:22-dtl-0000002738," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567) xx",done,,done,,"Lorenz Stor, Geometria et Perspectiva. Courtesy of Staatsbibliothek Bamberg, Signatur. Foto: Gerald Raab. Licensed under CC BY-SA 4.0 ( https://creativecommons.org/licenses/by-sa/4.0/deed.de).",done,,,,to do,,to do,,,to do,,,
objID94,flader94,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,5,,,, ,DE-Tübingen-Universitätsbibliothek Tübingen,DE-Tübingen-Universitätsbibliothek Tübingen,,El 54.4,Geometria Et Perspectiva - OpenDigi (uni-tuebingen.de)," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567) xx",done,,done,,"Lorenz Stor, Geometria et Perspectiva. Courtesy of Universitätsbibliothek Tübingen. Licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).",done,,,,to do,,to do,,,to do,,,
objID95,flader95,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,6,31.7 x 20.5 cm,,, ,DE-Erlangen-Nuremberg -University Library Erlangen-Nuremberg ,DE-Erlangen-Nuremberg -University Library Erlangen-Nuremberg ,,H62/MS 2774,https://nbn-resolving.org/urn:nbn:de:bvb:29-bv046337124-6," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567). 7r.",done,,done,,"Lorenz Stor, Geometria et Perspectiva. Courtesy of University Library Erlangen-Nuremberg, ""Universitätsbibliothek Erlangen-Nürnberg, MS 2774"". Licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).",done,,"If you use our digital copies on the Internet, please send us a note and the link to the corresponding website by e-mail.",,to do,,to do,,,to do,,,
objID96,flader96,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",?,Unknown,?,,,, ,DE-Bamberg-Staatsbibliothek Bamberg,DE-Bamberg-Staatsbibliothek Bamberg,,nc.typ.Ic.III.31,https://bavarikon.de/object/bav:SBB-MAT-00000BAV80012055," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567) xx",!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,the title page is lacking
objID97,flader97,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,7,,,, ,DE-Salzburg-UNIVERSITÄTSBIBLIOTHEK Salzburg,DE-Salzburg-UNIVERSITÄTSBIBLIOTHEK Salzburg,,G 363 II  ,https://ubsearch.sbg.ac.at/primo-explore/fulldisplay?docid=USB_alma21154718750003341&vid=USB&search_scope=USB_local_data&tab=default_tab&lang=de_DE&context=L," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567). xx",done,,done,,"Lorenz Stor, Geometria et Perspectiva. Courtesy of Salzburg University Library, Graphic Collection, G 363 II.   

The owner of the rights to the graphics published in the Special Collections section is the Salzburg University Library.

The graphic content is licensed under a Creative Commons Attribution-Noncommercial-ShareAlike 4.0 International License.

The full text of the license can be found at:

Creative Commons License Agreement

4.0 International License.
 
CONTACT

University Library Salzburg
Department of Special Collections
Hofstallgasse 2-4
5020 Salzburg ",done,,"Please also state our terms of use, 
Terms

The owner of the rights to the graphics published in the Special Collections section is the Salzburg University Library.

The graphic content is licensed under a Creative Commons Attribution-Noncommercial-ShareAlike 4.0 International License.

The full text of the license can be found at:

Creative Commons License Agreement

4.0 International License.
 
CONTACT

University Library Salzburg
Department of Special Collections
Hofstallgasse 2-4
5020 Salzburg 

",,to do,,to do,,,to do,,,
objID98,flader98,,9,"Erasmus Loy (fl. c.1520–1570), Courtyard, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, brown",1,235×188mm (London; measured 280×204 in Strauss 1550-1600],,, ,DE-Nuremberg-Germanisches Nationalmuseum,DE-Nuremberg-Germanisches Nationalmuseum,,,," Erasmus Loy, View of an arcade; a gate and tower at left. Colour woodcut from two blocks in black and brown and letterpress, ca 1555, Height: 235 millimetres (Borderline), Width: 188 millimetres, xx",!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,Boston only has a copy and doesn't hold copyright over it. The original is in Dresden SK (Flader 32)
objID99,flader99,see flader16,11,,I,,a,,3,,,"Fransiscan Church, Koblenz, Double Seat",DE-Kamenz-Stadtkirche,,,contact@danielblau.com, , , ,order placed,,to do,,,to do,,,,to do,,to do,,,to do,,,"I’ve found a photo—and photo credit—of the double seat! It’s in the book In Farbe, photo/caption and photo credit attached. Someone named Daniel Blau holds copyright over this photo, and it’s at the Marienkirche in Kamenz. Please do some google-sleuthing in hopes of tracking him down to request permission. If he has other photos, including the whole seat, all the better!"
objID100,flader100,see flader 89-91,11,"Erasmus Loy (fl. c.1520–1570), Courtyard with Fountain, Undated; before 1556 (the date of a cabinet on which it was used (see Maierbach-Legl); suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, light brown",4,352×294mm (London). ,,,Kamenz-Marienkirche (on a double seat; righthand impression; inscribed 'N. 26'); Kamenz-Marienkirche (on a double seat; lefthand impression; inscribed 'N. 27'),,,,,,,!!!,,!!!,,,!!!,,,,to do,,to do,,,to do,,,
objID101,flader101,see flader 89-91,11,"Erasmus Loy (fl. c.1520–1570), Courtyard with Fountain, Undated; before 1556 (the date of a cabinet on which it was used (see Maierbach-Legl); suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, light brown",5,352×294mm (London). ,,,Kamenz-Marienkirche (on a double seat; righthand impression; inscribed 'N. 26'); Kamenz-Marienkirche (on a double seat; lefthand impression; inscribed 'N. 27'),,,,,,,!!!,,!!!,,,!!!,,,,to do,,to do,,,to do,,,
objID102,flader102,see flader59-61,28,"Anonymous  (????–????), Medallion with God the Father Flanked by Angels, Undated; c.1587 (another wallpaper in Kloster Wienhausen is dated 1587). ",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",4,?,,God the Father (identified as Jesus) must be a copy because he signals with his left hand and the angels may be a copy after woodcuts by Hans Sebald Beham in Braunschweig (Appuhn).,DE-Wienhausen-Kloster,DE-Wienhausen-Kloster,,klosterarchive@kloster-wienhausen.de, ,https://www.kloster-wienhausen.de/uebersicht/klosterarchive.10.0.0.html,"Kloster Wienhausen, Äbtissinnenzelle, Vertäfelung unterhalb der Fenster, zwei Dateien: IMG_0048_b_kl.jpg",done,,done,,Copyright: Kloster Wienhausen,done,,"Will be used only for scholarly purpose within the academic Projekt „Fladerpapier: Art, Craft, and the Earliest Mass-Produced Wallpaper in the West”. 
For this purpose, the convent of Wienhausen grants permission to use these images in the supplied resolution (900 pixels on the long side) on the website of the project. No further use is allowed, especialy no posting on the internet. All further rights reserved to the mentioned convent above.
",,to do,,to do,,,to do,,,Please let me know when the website is live.
objID103,flader103,see flader59-61,28,"Anonymous  (????–????), Medallion with God the Father Flanked by Angels, Undated; c.1587 (another wallpaper in Kloster Wienhausen is dated 1587). ",I,Colour woodcut from two blocks,a,"Unknown (presumably black, red-brown)",5,?,,God the Father (identified as Jesus) must be a copy because he signals with his left hand and the angels may be a copy after woodcuts by Hans Sebald Beham in Braunschweig (Appuhn).,DE-Wienhausen-Kloster,DE-Wienhausen-Kloster,,klosterarchive@kloster-wienhausen.de, ,https://www.kloster-wienhausen.de/uebersicht/klosterarchive.10.0.0.html,"Kloster Wienhausen, Äbtissinnenzelle, Vertäfelung unterhalb der Fenster, zwei Dateien:IMG_0049_b.jpg",done,,done,,Copyright: Kloster Wienhausen,done,,"Will be used only for scholarly purpose within the academic Projekt „Fladerpapier: Art, Craft, and the Earliest Mass-Produced Wallpaper in the West”. 
For this purpose, the convent of Wienhausen grants permission to use these images in the supplied resolution (900 pixels on the long side) on the website of the project. No further use is allowed, especialy no posting on the internet. All further rights reserved to the mentioned convent above.
",,to do,,to do,,,to do,,,Please let me know when the website is live.
objID104,flader104,,?,"LOYOLA, Ignatius de, Esercizj Spirituali di S. Ignazio di Lojola fondatore della Compagnia di Gesù. Con l’istruzione di meditare, cavata da’ medesimi esercizi., 1764",,,,,,,,, ,,,a.pasternack@quaritch.com, ,https://www.quaritch.com/wp-content/uploads/2020/08/August.pdf#page=30,"LOYOLA, Ignatius de, Esercizj Spirituali di S. Ignazio di Lojola fondatore della Compagnia di Gesù. Con l’istruzione di meditare, cavata da’ medesimi esercizi., 1764",done,,done,,Photo: Bernard Quaritch Ltd,done,,,,to do,,to do,,,to do,,,
objID105,flader105,see flader18,12,"Anonymous  (????–????), Courtyard with Steeple, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Black, red-brown",1,424×356cm (borders). ,"Watermark: 'R' with two crossed keys, from Regensburg (similar to Briquet 1139) (Gnann).",, ,AT-Vienna-Albertina,AT-Vienna-Albertina,A.Gnann@albertina.at, ,,"Anonymous, Courtyard with Steeple, Undated; suggested as c.1520–70",done,a.hundsdorfer-zhou@albertina.at,done,,"Albertina, Vienna",done,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
, ,,,,,,,,,,,, ,,,, , , ,to do,,to do,,,to do,,,,to do,,to do,,,to do,,,
